"train/global_step","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Log Odds","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Log Odds__MIN","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Log Odds__MAX","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step__MIN","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step__MAX"
"1750","0.24775015982735601","-2.8517050743103027","7.444334983825684","14230.937888198758","14035","14434"
"1800","0.34928798220866586","-4.665923118591309","8.070564270019531","14647.186335403727","14438","14834"
"1850","0.19177115736529232","-5.654784202575684","4.8781538009643555","15038.875","14837","15234"
"1900","0.5276001807758395","-2.3837246894836426","7.504418849945068","15447.074829931973","15243","15637"
"1950","0.44320220218078626","-4.945630073547363","7.328049659729004","15836.674556213018","15643","16038"
"2000","0.39440833107120804","-1.9818593263626099","5.9000701904296875","16237.818181818182","16040","16439"
"2050","0.3791148966537362","-5.252362251281738","5.658710956573486","16648.22891566265","16441","16839"
"2100","0.4650588710235912","-2.2517502307891846","7.455235004425049","17032.025157232703","16843","17240"
"2150","0.46086253778702474","-2.692606210708618","8.222814559936523","17442.6582278481","17244","17642"
"2200","0.36950288357950695","-2.457026958465576","6.420581340789795","17836.81879194631","17644","18042"
"2250","0.4532474576656161","-2.0234293937683105","5.674746990203857","18239.737931034484","18045","18442"
"2300","0.4783155394283434","-3.737353563308716","5.304461479187012","18633.52","18450","18845"
"2350","0.28943236353360624","-2.5105481147766113","5.124488830566406","19042.842465753423","18849","19245"
"2400","0.4558920724899508","-3.198669910430908","5.707474231719971","19446.15","19248","19645"
"2450","0.6220330569764664","-2.868821620941162","10.427532196044922","19847.29655172414","19650","20044"
"2500","0.3926862136506271","-2.824986219406128","13.760845184326172","20253.121951219513","20050","20448"
"2550","0.4718704591066563","-2.674028158187866","6.036355972290039","20648.376811594204","20451","20847"
"2600","0.39478537617073317","-2.077456474304199","5.6787214279174805","21053.4076433121","20861","21249"
"2650","0.5245708111923799","-1.7225611209869385","4.694299697875977","21445.425373134327","21253","21650"
"2700","0.44225116133405146","-2.3401999473571777","6.821977615356445","21856.019108280256","21656","22053"
"2750","0.6405930499102446","-2.896639347076416","14.523574829101562","22249.53691275168","22057","22451"
"2800","0.2181230387064042","-2.7832729816436768","3.9798216819763184","22650.140740740742","22456","22855"
"2850","0.3303420480146918","-5.882753372192383","5.395718574523926","23056.28323699422","22859","23255"
"2900","0.3033917008418273","-7.835444450378418","9.859039306640625","23451.176470588234","23258","23655"
"2950","0.46400680492405555","-3.0599284172058105","7.825992584228516","23868.844594594593","23659","24058"
"3000","0.6414278835580227","-2.3643789291381836","14.489921569824219","24270.866242038217","24062","24459"
"3050","0.2497512384120262","-2.920708179473877","6.056852340698242","24646.206060606062","24462","24860"
"3100","0.4528094068240778","-3.511383295059204","6.0383758544921875","25039.904458598725","24863","25257"
"3150","0.5728673232577698","-1.9434373378753662","10.159920692443848","25455.754385964912","25263","25659"
"3200","0.4254629159411893","-4.001010894775391","4.854084491729736","25866.28205128205","25668","26063"
