"train/global_step","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Sequence Log Odds","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Sequence Log Odds__MIN","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Sequence Log Odds__MAX","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step__MIN","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step__MAX"
"1250","0.1760749682021069","-5.926150798797607","3.0306332111358643","10217.325301204819","10028","10423"
"1300","0.2757500730253555","-1.5744006633758545","5.941401481628418","10617.297297297297","10426","10824"
"1350","0.5022001774050295","-1.818595290184021","8.581596374511719","11024.66875","10827","11223"
"1400","0.22613875281352264","-5.980383396148682","4.192526817321777","11429.666666666666","11231","11624"
"1450","0.38220136058894366","-5.825202465057373","10.57140064239502","11826.70945945946","11634","12026"
"1500","0.12647270385561318","-2.3131444454193115","4.3123908042907715","12239.089655172414","12032","12429"
"1550","0.234466381583895","-3.07291841506958","7.2822675704956055","12635.771428571428","12432","12830"
"1600","0.12011740845770924","-5.849536418914795","3.237499475479126","13039.312883435583","12834","13231"
"1650","0.2618874787478834","-1.953901767730713","8.070268630981445","13439.913513513513","13233","13632"
"1700","0.3916121059353801","-1.9252055883407593","7.973806381225586","13826.753623188406","13637","14033"
"1750","0.19852319942868274","-2.2177927494049072","8.75374984741211","14230.937888198758","14035","14434"
"1800","0.23543692847586567","-6.163906097412109","8.764991760253906","14647.186335403727","14438","14834"
"1850","0.10611487794667482","-5.366352081298828","4.088077068328857","15038.875","14837","15234"
"1900","0.40495738539160514","-1.7302542924880981","4.110590934753418","15447.074829931973","15243","15637"
"1950","0.3346639770198856","-6.492851257324219","8.093829154968262","15836.674556213018","15643","16038"
"2000","0.28863713575841543","-1.3170998096466064","4.301270008087158","16237.818181818182","16040","16439"
"2050","0.31947172549833736","-7.151368618011475","6.8768792152404785","16648.22891566265","16441","16839"
"2100","0.260129340508449","-2.2989513874053955","5.980368137359619","17032.025157232703","16843","17240"
"2150","0.3369353995481624","-2.1604623794555664","9.529439926147461","17442.6582278481","17244","17642"
"2200","0.2564365562776591","-3.449099063873291","6.992148399353027","17836.81879194631","17644","18042"
"2250","0.26834580086428544","-2.401853084564209","4.0639872550964355","18239.737931034484","18045","18442"
"2300","0.3488680328925451","-1.9564871788024902","4.38986873626709","18633.52","18450","18845"
"2350","0.20835247492953524","-2.546663284301758","5.224480628967285","19042.842465753423","18849","19245"
"2400","0.3367574674077332","-5.228509426116943","7.531869888305664","19446.15","19248","19645"
"2450","0.4738165560981323","-2.07826828956604","10.00256633758545","19847.29655172414","19650","20044"
"2500","0.3335686211542385","-2.2326161861419678","11.976337432861328","20253.121951219513","20050","20448"
"2550","0.2652935160566931","-2.5034239292144775","6.480989933013916","20648.376811594204","20451","20847"
"2600","0.24169127064146054","-2.366712808609009","4.052884101867676","21053.4076433121","20861","21249"
"2650","0.43218542279592204","-1.1916847229003906","3.9162611961364746","21445.425373134327","21253","21650"
"2700","0.3496769934560463","-3.6781253814697266","7.002908229827881","21856.019108280256","21656","22053"
"2750","0.49555208378990223","-1.9208436012268066","12.833413124084473","22249.53691275168","22057","22451"
"2800","0.15863065614744468","-1.8710381984710693","4.192229270935059","22650.140740740742","22456","22855"
"2850","0.2523994889390262","-6.236232757568359","4.638734817504883","23056.28323699422","22859","23255"
"2900","0.22384770954746047","-7.8094401359558105","9.959427833557129","23451.176470588234","23258","23655"
"2950","0.3843773934688117","-1.8835883140563965","8.36862850189209","23868.844594594593","23659","24058"
"3000","0.442835292239098","-1.8694814443588257","12.938080787658691","24270.866242038217","24062","24459"
"3050","0.18038405712806818","-2.961493730545044","6.374735355377197","24646.206060606062","24462","24860"
"3100","0.35145304081546275","-3.8145523071289062","5.99564790725708","25039.904458598725","24863","25257"
"3150","0.44933265177478565","-1.5694324970245361","11.231159210205078","25455.754385964912","25263","25659"
"3200","0.3609718416745846","-5.795785427093506","4.686082363128662","25866.28205128205","25668","26063"
