"train/global_step","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Log Odds Ratio","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Log Odds Ratio__MIN","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Log Odds Ratio__MAX","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step__MIN","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step__MAX"
"1900","-0.6495228391184256","-2.4719245433807373","-0.0005504811997525394","15447.074829931973","15243","15637"
"1950","-0.7199796018429713","-4.952719211578369","-0.0006566414958797395","15836.674556213018","15643","16038"
"2000","-0.6892883704669847","-2.1109671592712402","-0.002735538175329566","16237.818181818182","16040","16439"
"2050","-0.7336286971757907","-5.2575836181640625","-0.0034809426870197058","16648.22891566265","16441","16839"
"2100","-0.6605470504479207","-2.351789951324463","-0.0005782129592262208","17032.025157232703","16843","17240"
"2150","-0.7033646462844019","-2.7581169605255127","-0.0002684357459656894","17442.6582278481","17244","17642"
"2200","-0.693671415812311","-2.5392420291900635","-0.0016263829311355948","17836.81879194631","17644","18042"
"2250","-0.6281254605823678","-2.1475932598114014","-0.003425677539780736","18239.737931034484","18045","18442"
"2300","-0.6516958433172355","-3.7608914375305176","-0.004957067314535379","18633.52","18450","18845"
"2350","-0.7426361980025133","-2.58864164352417","-0.00593164935708046","19042.842465753423","18849","19245"
"2400","-0.6567170956303017","-3.238675355911255","-0.003315574722364545","19446.15","19248","19645"
"2450","-0.6175164463703022","-2.924034833908081","-0.0000295643403660506","19847.29655172414","19650","20044"
"2500","-0.7081609981023832","-2.882603645324707","-0.0000010728841743912199","20253.121951219513","20050","20448"
"2550","-0.6494582133246181","-2.740727424621582","-0.002387390937656164","20648.376811594204","20451","20847"
"2600","-0.6401746083543322","-2.195460319519043","-0.0034121605567634106","21053.4076433121","20861","21249"
"2650","-0.5951590914376524","-1.8868952989578247","-0.00910570751875639","21445.425373134327","21253","21650"
"2700","-0.6824405653480808","-2.4321484565734863","-0.0010889734840020537","21856.019108280256","21656","22053"
"2750","-0.6051552346188758","-2.9503777027130127","-4.768372718899627e-7","22249.53691275168","22057","22451"
"2800","-0.740966191349758","-2.8432722091674805","-0.01851644739508629","22650.140740740742","22456","22855"
"2850","-0.7023930492207968","-5.8855366706848145","-0.004525634925812483","23056.28323699422","22859","23255"
"2900","-0.759627424443203","-7.835839748382568","-0.00005221503306529485","23451.176470588234","23258","23655"
"2950","-0.6544463265015873","-3.1057534217834473","-0.0003991327539552003","23868.844594594593","23659","24058"
"3000","-0.635992509514454","-2.4542267322540283","-4.768372718899627e-7","24270.866242038217","24062","24459"
"3050","-0.7226070457730781","-2.9732015132904053","-0.0023389970883727074","24646.206060606062","24462","24860"
"3100","-0.6455625299865582","-3.540802001953125","-0.0023825515527278185","25039.904458598725","24863","25257"
"3150","-0.6127437367624374","-2.0772781372070312","-0.00003874376852763817","25455.754385964912","25263","25659"
"3200","-0.6982032518344334","-4.0191426277160645","-0.007766285911202431","25866.28205128205","25668","26063"
