"train/global_step","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Token Log Odds","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Token Log Odds__MIN","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Token Log Odds__MAX","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step__MIN","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step__MAX"
"2550","0.5977496986371883","-3.223205089569092","8.286795616149902","20648.376811594204","20451","20847"
"2600","0.48809261809868415","-2.3112683296203613","6.66956901550293","21053.4076433121","20861","21249"
"2650","0.5808836469676957","-2.614806652069092","5.168548107147217","21445.425373134327","21253","21650"
"2700","0.49869035037270015","-3.0945918560028076","6.711666107177734","21856.019108280256","21656","22053"
"2750","0.7290316499119637","-3.4916765689849854","15.554082870483398","22249.53691275168","22057","22451"
"2800","0.2544037228933087","-3.3396382331848145","4.742995262145996","22650.140740740742","22456","22855"
"2850","0.3778842207410432","-5.667159080505371","5.857481002807617","23056.28323699422","22859","23255"
"2900","0.35192322713974256","-7.851308345794678","10.98270320892334","23451.176470588234","23258","23655"
"2950","0.512595469081724","-3.840688467025757","7.494873523712158","23868.844594594593","23659","24058"
"3000","0.7626280816876965","-2.880277395248413","15.437015533447266","24270.866242038217","24062","24459"
"3050","0.2920929004297112","-2.8958141803741455","5.862821578979492","24646.206060606062","24462","24860"
"3100","0.5146902648696474","-5.649440288543701","6.93690299987793","25039.904458598725","24863","25257"
"3150","0.6483018089804733","-2.966233253479004","9.505812644958496","25455.754385964912","25263","25659"
"3200","0.4648499325252114","-3.6568055152893066","5.336122512817383","25866.28205128205","25668","26063"
